Date,state,tot_cases,new_case,tot_death,new_death,submission_date,case fatality rate,State or Region Code,Population,death rate,Total Cases per Population,New Cases per Population,7 day average new cases,Adjusted Case Rate,Risk Level
2020-01-23,WV,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,WV,1792147.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MP,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MP,55194.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,OR,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,OR,4217737.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,ID,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,ID,1787065.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,VI,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,VI,104914.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,LA,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,LA,4648794.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NE,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NE,1934408.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NYC,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NYC,8336817.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,KY,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,KY,4467673.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,AS,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,AS,55641.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,SC,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,SC,5148714.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,CT,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,CT,3565287.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,AZ,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,AZ,7278717.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NJ,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NJ,8882190.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,ND,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,ND,762062.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,TN,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,TN,6833174.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NM,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NM,2096829.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,WY,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,WY,578759.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,IA,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,IA,3155070.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MA,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MA,6949503.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,WA,1.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,WA,7614893.0,0.0,1.3132160885254723e-07,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,OH,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,OH,11689100.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,PA,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,PA,12801989.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MS,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MS,2976149.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,AL,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,AL,4903185.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,VA,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,VA,8535519.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MI,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MI,9986857.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,WI,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,WI,5822434.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,IL,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,IL,12671821.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,TX,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,TX,28995881.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,PR,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,PR,3193694.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,US,1.0,0.0,0.0,0.0,2020-01-23,0.0,US,331814684.0,0.0,3.013730398983789e-09,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,FL,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,FL,21477737.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,CA,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,CA,39512223.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,GA,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,GA,10617423.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,UT,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,UT,3205958.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,NV,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,NV,3080156.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
